Homogenity,Kurtosis,Correlation,Skewness,Entropy,RMS,Mean,Standard_Deviation,Energy,Contrast,Output
0.953182883,5.830470347,0.848019196,1.967732476,2.657004243,7.405352993,24.19590251,48.49559061,0.555996608,0.518213848,1
0.978761489,8.80010364,0.893457187,2.560884941,1.763757252,5.866290887,8.615102132,21.6052617,0.70815368,0.06651348,1
0.965751397,2.682479051,0.96105701,1.13903122,3.542151528,9.231373485,51.85188293,79.82378637,0.434026438,0.456433824,1
0.955813036,8.793544202,0.866031159,2.502477352,2.46397568,7.115000658,20.5358785,46.72380826,0.620404227,0.422824755,1
0.967091193,3.870724747,0.951560175,1.5589338,2.812024511,7.330723858,38.40472921,71.26272037,0.545736982,0.451608456,1
0.9353429,5.978709513,0.8965436,1.942466932,3.077136915,8.122699208,31.4773407,58.88999067,0.490207989,0.554947917,1
0.946846259,7.49416202,0.890005547,2.294589096,2.555156088,7.210167413,27.52440898,59.47848919,0.568593803,0.60323223,1
0.961689006,4.347371352,0.93260695,1.626813611,2.764741502,7.723879296,32.45765177,59.7592695,0.542112095,0.435707721,1
0.971536568,4.926511933,0.954897135,1.868277833,2.462882398,6.690225193,34.08019511,71.06141028,0.595873816,0.425045956,1
0.946956316,6.505147825,0.855184111,2.078983274,2.618524309,7.638804608,23.77283223,48.50863676,0.549964733,0.585003064,1
0.930446173,5.740470046,0.834382293,1.892939158,3.109303159,8.308826812,27.07843526,50.44796129,0.506063081,0.648529412,1
0.918697205,3.791541846,0.870312238,1.481412667,3.647195195,9.041788821,41.06072998,68.69053815,0.397646213,1.120021446,1
0.964353043,3.504779548,0.936225653,1.409340929,3.449139385,8.84337747,36.51757813,60.46913002,0.456249893,0.199571078,1
0.951277136,5.299450643,0.890187195,1.876760995,3.332316176,8.069099645,36.16968282,68.77326954,0.461126915,0.465134804,1
0.95796255,2.5873698,0.943518288,1.010826896,4.013054867,9.550461142,45.37152608,62.15361542,0.367952333,0.195802696,1
0.915126944,5.18705409,0.816553825,1.817301321,3.338705326,8.675891571,31.38115946,57.4030718,0.456370074,1.02544424,1
0.942608434,5.319968032,0.886487166,1.916991445,2.465392196,6.492119955,29.67486064,61.55350089,0.580645838,0.73817402,1
0.920343247,5.196972521,0.772676186,1.812584078,3.007775544,7.944090296,30.12327067,56.8714361,0.505740651,1.105193015,1
0.951335018,11.78792791,0.797936031,2.878149323,3.236590639,8.15703187,19.25241597,41.23956309,0.576147071,0.568198529,1
0.889973247,1.729235865,0.913367423,0.45071009,5.561831156,11.96459599,80.17774963,82.71563877,0.207685899,1.005698529,1
0.96616996,4.193602112,0.935613639,1.565136229,3.306052759,8.755672359,35.68976847,61.80101186,0.468168694,0.446798407,1
0.929051832,5.288595075,0.878267728,1.728149776,3.689464678,9.493683638,33.03793335,54.57723061,0.394286348,0.619010417,1
0.970120434,7.512196079,0.917038326,2.318025376,2.4322328,6.79139539,20.38215637,45.2768458,0.613072261,0.206035539,1
0.941917254,6.443819886,0.863453889,1.845423749,3.670188747,9.581309273,27.63313293,44.85289082,0.39133729,0.464874387,1
0.922493307,2.325517037,0.916951377,0.88256115,4.745578746,10.64764824,58.89750163,75.33982335,0.313093872,0.717677696,1
0.96449268,5.393620371,0.927552833,1.837544226,2.89201717,8.136634624,23.57006836,44.41007688,0.516601951,0.23203125,1
0.951921266,6.299280948,0.924638888,1.933492742,3.390804897,8.980581957,27.90689596,49.46924948,0.466994576,0.312040441,1
