Homogeneity,Entropy,RMS,Mean,Energy,Standard_Deviation,Correlation,Contrast,Variance,Output
0.954368581,3.138768088,8.341000094,43.39105733,0.493603462,75.81682131,0.943331066,0.618520221,5174.837776,1
0.949193055,3.093576363,8.478706867,40.5274353,0.491558766,70.87501784,0.892764666,0.877772672,4837.704296,1
0.96632683,2.358234593,5.978231569,27.88724772,0.612095662,59.87787686,0.921945768,0.486933211,2466.667121,1
0.968176281,1.948719389,5.695933838,21.72168986,0.67909566,53.85794608,0.913106909,0.452190564,2208.009147,1
0.958200554,2.750653524,7.752979365,24.65964762,0.573097167,51.13949577,0.871294615,0.490594363,2442.960204,1
0.968835693,2.261925624,5.886892252,30.89804077,0.630073177,66.60714597,0.937042462,0.501041667,3301.49872,1
0.911409113,4.145808472,10.05015724,33.50426737,0.32505481,51.86601879,0.807186401,0.908134191,2425.95905,1
0.951213545,3.169971082,8.060755126,38.26830546,0.486523618,67.37875099,0.941834086,0.502113971,3279.862398,1
0.923776607,3.987743348,9.510271516,35.32376607,0.378010237,57.26855574,0.84131019,0.887530637,2910.893762,1
0.944778901,3.660964054,8.831656311,39.17351278,0.398120289,57.72815009,0.908234977,0.529365809,2618.781192,1
0.9540017,4.558403494,10.34956894,41.11623637,0.3266823,63.60889142,0.942236389,0.225643382,3087.77695,1
0.951460686,2.252785016,6.799552314,21.41724141,0.656783806,53.29866892,0.842690776,0.668167892,2782.600273,1
0.951356738,3.995208124,9.210113365,40.03462728,0.367393656,61.4329529,0.940589051,0.391896446,2547.729006,1
0.976319627,3.866747391,9.641449413,32.40256246,0.39897108,51.00041789,0.934194025,0.138327206,2052.991262,1
0.956788705,3.318309328,9.101357512,47.39585368,0.474454178,85.81811832,0.965668381,0.390992647,6346.72087,1
0.957567803,4.592306357,10.16677449,42.07036845,0.307327801,55.69410507,0.889840992,0.295634191,2051.92948,1
0.946435611,4.721778129,11.30656528,39.11306763,0.294117497,47.88257441,0.905316628,0.216007966,1943.242595,1
0.977473484,2.204815097,7.335986935,30.92669678,0.617620043,73.78466264,0.967223232,0.268795956,3300.127896,1
