Entropy,Homogeneity,Mean,Correlation,Standard,Energy,Contrast,Output
3.235876184,0.951692435,29.24583435,0.909628355,48.09853689,0.465488306,0.339246324,1
2.657004243,0.953182883,24.19590251,0.848019196,48.49559061,0.555996608,0.518213848,1
1.763757252,0.978761489,8.615102132,0.893457187,21.6052617,0.70815368,0.06651348,1
3.542151528,0.965751397,51.85188293,0.96105701,79.82378637,0.434026438,0.456433824,1
2.46397568,0.955813036,20.5358785,0.866031159,46.72380826,0.620404227,0.422824755,1
2.812024511,0.967091193,38.40472921,0.951560175,71.26272037,0.545736982,0.451608456,1
3.077136915,0.9353429,31.4773407,0.8965436,58.88999067,0.490207989,0.554947917,1
2.555156088,0.946846259,27.52440898,0.890005547,59.47848919,0.568593803,0.60323223,1
2.764741502,0.961689006,32.45765177,0.93260695,59.7592695,0.542112095,0.435707721,1
2.462882398,0.971536568,34.08019511,0.954897135,71.06141028,0.595873816,0.425045956,1
2.618524309,0.946956316,23.77283223,0.855184111,48.50863676,0.549964733,0.585003064,1
3.109303159,0.930446173,27.07843526,0.834382293,50.44796129,0.506063081,0.648529412,1
3.647195195,0.918697205,41.06072998,0.870312238,68.69053815,0.397646213,1.120021446,1
3.449139385,0.964353043,36.51757813,0.936225653,60.46913002,0.456249893,0.199571078,1
3.332316176,0.951277136,36.16968282,0.890187195,68.77326954,0.461126915,0.465134804,1
4.013054867,0.95796255,45.37152608,0.943518288,62.15361542,0.367952333,0.195802696,1
3.338705326,0.915126944,31.38115946,0.816553825,57.4030718,0.456370074,1.02544424,1
2.465392196,0.942608434,29.67486064,0.886487166,61.55350089,0.580645838,0.73817402,1
3.007775544,0.920343247,30.12327067,0.772676186,56.8714361,0.505740651,1.105193015,1
3.236590639,0.951335018,19.25241597,0.797936031,41.23956309,0.576147071,0.568198529,1
5.561831156,0.889973247,80.17774963,0.913367423,82.71563877,0.207685899,1.005698529,1
3.306052759,0.96616996,35.68976847,0.935613639,61.80101186,0.468168694,0.446798407,1
3.689464678,0.929051832,33.03793335,0.878267728,54.57723061,0.394286348,0.619010417,1
2.4322328,0.970120434,20.38215637,0.917038326,45.2768458,0.613072261,0.206035539,1
