Homogeneity,Mean,Energy,Correlation,Contrast,Output
0.953022219,38.64521281,0.291957899,0.92770103,0.305897672,1
0.969093757,18.62585958,0.578748456,0.893569165,0.183762255,1
0.956821895,33.83140055,0.439105635,0.892269417,0.414690564,1
0.960070429,31.14694722,0.416259627,0.892833015,0.283042279,1
0.925633936,31.74020894,0.383664118,0.861889167,0.591605392,1
0.932065881,32.04348755,0.452307437,0.876130691,0.72578125,1
0.955765913,23.13698324,0.565050816,0.887472398,0.39676777,1
0.953475578,22.50971476,0.565181895,0.882048015,0.393321078,1
0.95939878,22.59616597,0.568667822,0.894334985,0.356617647,1
0.95987674,29.68072001,0.513704073,0.926451401,0.434436275,1
0.95062759,36.09106445,0.455913583,0.9290929,0.531326593,1
0.930554936,28.62808228,0.500776316,0.843261795,0.662025123,1
0.957544078,29.61386617,0.471168972,0.926157407,0.363771446,1
0.906694714,60.65636698,0.266169504,0.920796234,0.726363358,1
0.914491476,48.29800415,0.415038154,0.895439523,0.929396446,1
0.964235108,24.49181112,0.633854986,0.916426377,0.46171875,1
0.961918476,26.7855072,0.599926836,0.925817474,0.449816176,1
0.925460562,37.57182821,0.390160013,0.845061181,1.071492034,1
0.916175048,37.96868896,0.4634404,0.870045839,1.036580882,1
0.942860754,30.52436829,0.47152956,0.877805241,0.750934436,1
0.933427743,33.75322978,0.430592837,0.878548369,0.818719363,1
0.955240831,30.5619812,0.336445465,0.863915632,0.433348652,1
0.947130402,33.39750671,0.526210927,0.941309807,0.414797794,1
0.981399503,12.8944753,0.764322955,0.921900065,0.168765319,1
0.952624446,27.47299194,0.581441164,0.932987823,0.402527574,1
0.982476037,11.19910177,0.8002286,0.930126309,0.146384804,1
0.96482172,23.84518433,0.528718676,0.913937082,0.308379289,1
0.965393725,23.98846436,0.535674267,0.911844536,0.326210172,1
0.954026027,18.26633708,0.608724818,0.840240203,0.484390319,1
0.931801525,39.88990784,0.385779928,0.922739518,0.432996324,1
0.931427167,33.46047465,0.454168079,0.872370942,0.713648897,1
0.9231765,37.86365763,0.490646681,0.892403757,0.763128064,1
0.932740393,33.12879944,0.418212517,0.914528464,0.435814951,1
0.966159292,38.82404073,0.398159465,0.954115882,0.200490196,1
0.966603277,40.52891032,0.412995169,0.947088656,0.254932598,1
0.966257988,36.02749634,0.402289801,0.955980598,0.168811275,1
0.940897106,29.4335734,0.503540833,0.873360042,0.676072304,1
0.930129424,44.09680684,0.398730176,0.9089744,0.755958946,1
0.961499238,23.5355072,0.546110872,0.924033238,0.299050245,1
0.9488774,33.858078,0.442117033,0.923925195,0.458011642,1
0.943356512,32.26946513,0.483215024,0.912221677,0.556832108,1
0.961940432,19.96761576,0.657321205,0.874705916,0.431173407,1
0.940876353,49.0514679,0.2957507,0.932012891,0.504258578,1
0.939510023,48.26647441,0.316123321,0.931906607,0.483976716,1
0.923848057,31.94950358,0.434413788,0.850830833,0.803247549,1
0.901520064,47.73205566,0.440338868,0.920103981,0.737821691,1
0.92878102,26.1105245,0.486156086,0.821652201,0.756632966,1
0.964550599,33.35278829,0.48343292,0.936619325,0.405453431,1
0.928321662,28.67622375,0.475443425,0.849871396,0.774356618,1
0.954081357,29.3350118,0.455140729,0.934125215,0.322870711,1
0.9230369,33.48757935,0.386103784,0.855519653,0.750719975,1
0.955184735,32.70072428,0.484380601,0.920247969,0.424938725,1
0.960183532,40.11760457,0.365220898,0.94676842,0.26495098,1
0.961427113,31.12433879,0.474440628,0.946668402,0.23370098,1
0.947689349,30.35565694,0.442661962,0.915403853,0.460799632,1
0.950024583,29.62926229,0.44365946,0.922005554,0.409252451,1
0.935063591,34.78733317,0.486731718,0.912576095,0.572625613,1
0.932210897,51.39587911,0.258428515,0.899829454,0.547947304,1
0.923364135,49.44244893,0.264714322,0.896157008,0.636764706,1
0.978833669,12.77098592,0.743134086,0.90058575,0.250551471,1
0.950064356,25.94322205,0.515487563,0.857455942,0.449724265,1
0.953439816,27.68086751,0.448668262,0.855133218,0.660018382,1
0.944132309,47.25217692,0.298404338,0.90512236,0.728538603,1
0.943279189,46.74564107,0.338815944,0.931180869,0.564552696,1
0.934527402,49.60860697,0.353689636,0.931047802,0.675291054,1
0.949695542,40.94581604,0.480532259,0.934177685,0.620741422,1
0.952751043,33.5491689,0.55169974,0.930255776,0.530208333,1
0.962919822,32.00482686,0.566672286,0.942856042,0.41786152,1
0.944537615,33.75416565,0.345944182,0.898258822,0.447120098,1
0.945195313,31.40655518,0.464152138,0.893587419,0.554166667,1
0.943699521,29.89733378,0.396844261,0.895379727,0.420680147,1
0.935966824,34.48334249,0.355301489,0.877650642,0.614598652,1
0.955377768,31.23352051,0.456088404,0.928090241,0.398483456,1
0.948010803,32.63334147,0.475919701,0.918827695,0.494270833,1
