Contrast,RMS,Correlation,Skewness,Kurtosis,Variance,Standard_Deviation,Entropy,Energy,Mean,Output
0.440272672,5.739730849,0.928180615,2.507668247,7.876461978,3468.339294,61.96826347,1.855349224,0.720618621,23.77383931,1
0.425566789,5.265087524,0.917482119,2.82091038,9.636429843,3068.135557,57.71905734,1.683482929,0.764176769,20.17080688,1
0.781265319,7.91340779,0.874963859,1.99679391,5.85252311,3185.669159,58.85572967,2.862960944,0.515863129,29.34995015,1
0.601685049,7.229460721,0.917967362,1.880602404,5.145783742,3508.094228,62.39253372,2.523766698,0.575152287,30.44704183,1
0.618520221,8.341000094,0.943331066,1.462941542,3.602819485,5174.837776,75.81682131,3.138768088,0.493603462,43.39105733,1
0.877772672,8.478706867,0.892764666,1.443674421,3.537557767,4837.704296,70.87501784,3.093576363,0.491558766,40.5274353,1
0.486933211,5.978231569,0.921945768,2.006636777,5.74067049,2466.667121,59.87787686,2.358234593,0.612095662,27.88724772,1
0.452190564,5.695933838,0.913106909,2.448590165,7.888235163,2208.009147,53.85794608,1.948719389,0.67909566,21.72168986,1
0.490594363,7.752979365,0.871294615,2.213486618,7.287070957,2442.960204,51.13949577,2.750653524,0.573097167,24.65964762,1
0.501041667,5.886892252,0.937042462,1.939104473,5.252782277,3301.49872,66.60714597,2.261925624,0.630073177,30.89804077,1
0.908134191,10.05015724,0.807186401,1.774648174,6.017780978,2425.95905,51.86601879,4.145808472,0.32505481,33.50426737,1
0.502113971,8.060755126,0.941834086,1.508815029,3.79624856,3279.862398,67.37875099,3.169971082,0.486523618,38.26830546,1
0.887530637,9.510271516,0.84131019,1.713856358,5.227304141,2910.893762,57.26855574,3.987743348,0.378010237,35.32376607,1
0.529365809,8.831656311,0.908234977,1.203199595,3.308157018,2618.781192,57.72815009,3.660964054,0.398120289,39.17351278,1
0.225643382,10.34956894,0.942236389,1.651548223,4.880668923,3087.77695,63.60889142,4.558403494,0.3266823,41.11623637,1
0.668167892,6.799552314,0.842690776,2.671431697,9.282271704,2782.600273,53.29866892,2.252785016,0.656783806,21.41724141,1
0.391896446,9.210113365,0.940589051,1.339211919,3.497597386,2547.729006,61.4329529,3.995208124,0.367393656,40.03462728,1
0.138327206,9.641449413,0.934194025,1.604116153,4.845043893,2052.991262,51.00041789,3.866747391,0.39897108,32.40256246,1
0.390992647,9.101357512,0.965668381,1.729695963,4.380377661,6346.72087,85.81811832,3.318309328,0.474454178,47.39585368,1
0.295634191,10.16677449,0.889840992,1.14516354,3.22704474,2051.92948,55.69410507,4.592306357,0.307327801,42.07036845,1
0.216007966,11.30656528,0.905316628,0.918501138,2.570361526,1943.242595,47.88257441,4.721778129,0.294117497,39.11306763,1
0.268795956,7.335986935,0.967223232,2.466876208,7.558129788,3300.127896,73.78466264,2.204815097,0.617620043,30.92669678,1
0.075214461,8.205329985,0.907871781,1.581157565,4.30967928,825.7073827,34.72083416,3.25915422,0.469101385,21.15208944,1
0.339246324,8.69413548,0.909628355,1.403073695,3.65134935,2124.624612,48.09853689,3.235876184,0.465488306,29.24583435,1
0.518213848,7.405352993,0.848019196,1.967732476,5.830470347,2090.218573,48.49559061,2.657004243,0.555996608,24.19590251,1
0.06651348,5.866290887,0.893457187,2.560884941,8.80010364,430.9884765,21.6052617,1.763757252,0.70815368,8.615102132,1
0.456433824,9.231373485,0.96105701,1.13903122,2.682479051,5854.116051,79.82378637,3.542151528,0.434026438,51.85188293,1
0.422824755,7.115000658,0.866031159,2.502477352,8.793544202,2052.501765,46.72380826,2.46397568,0.620404227,20.5358785,1
0.451608456,7.330723858,0.951560175,1.5589338,3.870724747,4128.112603,71.26272037,2.812024511,0.545736982,38.40472921,1
0.554947917,8.122699208,0.8965436,1.942466932,5.978709513,2855.391255,58.88999067,3.077136915,0.490207989,31.4773407,1
0.60323223,7.210167413,0.890005547,2.294589096,7.49416202,2869.300052,59.47848919,2.555156088,0.568593803,27.52440898,1
0.435707721,7.723879296,0.93260695,1.626813611,4.347371352,3278.386181,59.7592695,2.764741502,0.542112095,32.45765177,1
0.425045956,6.690225193,0.954897135,1.868277833,4.926511933,3883.662115,71.06141028,2.462882398,0.595873816,34.08019511,1
0.585003064,7.638804608,0.855184111,2.078983274,6.505147825,2181.137075,48.50863676,2.618524309,0.549964733,23.77283223,1
0.648529412,8.308826812,0.834382293,1.892939158,5.740470046,2394.289244,50.44796129,3.109303159,0.506063081,27.07843526,1
1.120021446,9.041788821,0.870312238,1.481412667,3.791541846,4206.864058,68.69053815,3.647195195,0.397646213,41.06072998,1
0.199571078,8.84337747,0.936225653,1.409340929,3.504779548,3075.548218,60.46913002,3.449139385,0.456249893,36.51757813,1
0.465134804,8.069099645,0.890187195,1.876760995,5.299450643,3669.205954,68.77326954,3.332316176,0.461126915,36.16968282,1
0.195802696,9.550461142,0.943518288,1.010826896,2.5873698,2652.913636,62.15361542,4.013054867,0.367952333,45.37152608,1
1.02544424,8.675891571,0.816553825,1.817301321,5.18705409,3007.623129,57.4030718,3.338705326,0.456370074,31.38115946,1
0.73817402,6.492119955,0.886487166,1.916991445,5.319968032,3017.588925,61.55350089,2.465392196,0.580645838,29.67486064,1
1.105193015,7.944090296,0.772676186,1.812584078,5.196972521,2943.698316,56.8714361,3.007775544,0.505740651,30.12327067,1
0.568198529,8.15703187,0.797936031,2.878149323,11.78792791,1560.546546,41.23956309,3.236590639,0.576147071,19.25241597,1
1.005698529,11.96459599,0.913367423,0.45071009,1.729235865,6015.336771,82.71563877,5.561831156,0.207685899,80.17774963,1
0.446798407,8.755672359,0.935613639,1.565136229,4.193602112,3292.029818,61.80101186,3.306052759,0.468168694,35.68976847,1
0.619010417,9.493683638,0.878267728,1.728149776,5.288595075,2771.270786,54.57723061,3.689464678,0.394286348,33.03793335,1
0.206035539,6.79139539,0.917038326,2.318025376,7.512196079,1740.051915,45.2768458,2.4322328,0.613072261,20.38215637,1
0.464874387,9.581309273,0.863453889,1.845423749,6.443819886,1827.116023,44.85289082,3.670188747,0.39133729,27.63313293,1
0.717677696,10.64764824,0.916951377,0.88256115,2.325517037,5358.092395,75.33982335,4.745578746,0.313093872,58.89750163,1
0.23203125,8.136634624,0.927552833,1.837544226,5.393620371,1751.950593,44.41007688,2.89201717,0.516601951,23.57006836,1
0.312040441,8.980581957,0.924638888,1.933492742,6.299280948,2315.071604,49.46924948,3.390804897,0.466994576,27.90689596,1
0.517279412,7.869806212,0.885033879,2.064627668,6.401938068,2381.79813,51.52676341,2.914716788,0.536796312,25.68444316,1
0.384803922,7.761577547,0.926682102,1.859719331,5.349832256,2417.66208,55.05236969,2.877972134,0.529085446,28.65498352,1
0.600474877,9.340665139,0.944621638,0.93268403,2.383465178,3948.608154,75.83653698,4.241133923,0.342844064,56.72569275,1
1.021415441,8.482540112,0.895377303,1.325635904,3.255793098,4321.929554,71.80705332,3.447043785,0.430860233,44.15743001,1
0.305897672,11.10370905,0.92770103,1.263480627,3.961963359,2110.135337,50.13442915,4.598778239,0.291957899,38.64521281,1
0.183762255,7.474107115,0.893569165,2.272675485,7.578621194,1288.189693,38.82371397,2.78380629,0.578748456,18.62585958,1
