Contrast,RMS,Correlation,Skewness,Kurtosis,Output
0.390992647,9.101357512,0.965668381,1.729695963,4.380377661,1
0.295634191,10.16677449,0.889840992,1.14516354,3.22704474,1
0.216007966,11.30656528,0.905316628,0.918501138,2.570361526,1
0.268795956,7.335986935,0.967223232,2.466876208,7.558129788,1
0.075214461,8.205329985,0.907871781,1.581157565,4.30967928,1
0.339246324,8.69413548,0.909628355,1.403073695,3.65134935,1
0.518213848,7.405352993,0.848019196,1.967732476,5.830470347,1
0.06651348,5.866290887,0.893457187,2.560884941,8.80010364,1
0.456433824,9.231373485,0.96105701,1.13903122,2.682479051,1
0.422824755,7.115000658,0.866031159,2.502477352,8.793544202,1
0.451608456,7.330723858,0.951560175,1.5589338,3.870724747,1
0.554947917,8.122699208,0.8965436,1.942466932,5.978709513,1
0.60323223,7.210167413,0.890005547,2.294589096,7.49416202,1
0.435707721,7.723879296,0.93260695,1.626813611,4.347371352,1
0.425045956,6.690225193,0.954897135,1.868277833,4.926511933,1
0.585003064,7.638804608,0.855184111,2.078983274,6.505147825,1
0.648529412,8.308826812,0.834382293,1.892939158,5.740470046,1
1.120021446,9.041788821,0.870312238,1.481412667,3.791541846,1
0.199571078,8.84337747,0.936225653,1.409340929,3.504779548,1
0.465134804,8.069099645,0.890187195,1.876760995,5.299450643,1
0.195802696,9.550461142,0.943518288,1.010826896,2.5873698,1
1.02544424,8.675891571,0.816553825,1.817301321,5.18705409,1
0.73817402,6.492119955,0.886487166,1.916991445,5.319968032,1
1.105193015,7.944090296,0.772676186,1.812584078,5.196972521,1
0.568198529,8.15703187,0.797936031,2.878149323,11.78792791,1
1.005698529,11.96459599,0.913367423,0.45071009,1.729235865,1
0.446798407,8.755672359,0.935613639,1.565136229,4.193602112,1
0.619010417,9.493683638,0.878267728,1.728149776,5.288595075,1
0.206035539,6.79139539,0.917038326,2.318025376,7.512196079,1
0.464874387,9.581309273,0.863453889,1.845423749,6.443819886,1
0.717677696,10.64764824,0.916951377,0.88256115,2.325517037,1
0.23203125,8.136634624,0.927552833,1.837544226,5.393620371,1
0.312040441,8.980581957,0.924638888,1.933492742,6.299280948,1
0.517279412,7.869806212,0.885033879,2.064627668,6.401938068,1
0.384803922,7.761577547,0.926682102,1.859719331,5.349832256,1
0.600474877,9.340665139,0.944621638,0.93268403,2.383465178,1
1.021415441,8.482540112,0.895377303,1.325635904,3.255793098,1
0.305897672,11.10370905,0.92770103,1.263480627,3.961963359,1
0.183762255,7.474107115,0.893569165,2.272675485,7.578621194,1
0.414690564,8.83453047,0.892269417,1.404540834,3.864954698,1
0.283042279,9.446238784,0.892833015,1.471953253,4.152901457,1
0.591605392,9.509676218,0.861889167,1.60734361,4.993314173,1
0.72578125,8.503969398,0.876130691,1.722558123,4.929942631,1
0.39676777,7.776868658,0.887472398,2.344052887,7.946439937,1
0.393321078,7.775738667,0.882048015,2.384137405,8.241688856,1
0.356617647,7.80730869,0.894334985,2.385135434,8.223694088,1
0.434436275,8.0875411,0.926451401,1.915433173,5.516938007,1
0.531326593,8.636943751,0.9290929,1.78597956,5.18047168,1
0.662025123,8.17505583,0.843261795,1.805522282,5.536794473,1
