Contrast,RMS,Correlation,Skewness,Kurtosis,Variance,Standard_Deviation,Output
0.73817402,6.492119955,0.886487166,1.916991445,5.319968032,3017.588925,61.55350089,1
1.105193015,7.944090296,0.772676186,1.812584078,5.196972521,2943.698316,56.8714361,1
0.568198529,8.15703187,0.797936031,2.878149323,11.78792791,1560.546546,41.23956309,1
1.005698529,11.96459599,0.913367423,0.45071009,1.729235865,6015.336771,82.71563877,1
0.446798407,8.755672359,0.935613639,1.565136229,4.193602112,3292.029818,61.80101186,1
0.619010417,9.493683638,0.878267728,1.728149776,5.288595075,2771.270786,54.57723061,1
0.206035539,6.79139539,0.917038326,2.318025376,7.512196079,1740.051915,45.2768458,1
0.464874387,9.581309273,0.863453889,1.845423749,6.443819886,1827.116023,44.85289082,1
0.717677696,10.64764824,0.916951377,0.88256115,2.325517037,5358.092395,75.33982335,1
0.23203125,8.136634624,0.927552833,1.837544226,5.393620371,1751.950593,44.41007688,1
0.312040441,8.980581957,0.924638888,1.933492742,6.299280948,2315.071604,49.46924948,1
0.517279412,7.869806212,0.885033879,2.064627668,6.401938068,2381.79813,51.52676341,1
0.384803922,7.761577547,0.926682102,1.859719331,5.349832256,2417.66208,55.05236969,1
0.600474877,9.340665139,0.944621638,0.93268403,2.383465178,3948.608154,75.83653698,1
1.021415441,8.482540112,0.895377303,1.325635904,3.255793098,4321.929554,71.80705332,1
0.305897672,11.10370905,0.92770103,1.263480627,3.961963359,2110.135337,50.13442915,1
0.183762255,7.474107115,0.893569165,2.272675485,7.578621194,1288.189693,38.82371397,1
0.414690564,8.83453047,0.892269417,1.404540834,3.864954698,2198.099997,53.6839031,1
0.283042279,9.446238784,0.892833015,1.471953253,4.152901457,1881.247054,48.47757612,1
0.591605392,9.509676218,0.861889167,1.60734361,4.993314173,2407.903347,50.40504882,1
0.72578125,8.503969398,0.876130691,1.722558123,4.929942631,2832.035393,56.82705147,1
0.39676777,7.776868658,0.887472398,2.344052887,7.946439937,2271.988281,49.29923733,1
0.393321078,7.775738667,0.882048015,2.384137405,8.241688856,2160.630904,48.08600053,1
0.356617647,7.80730869,0.894334985,2.385135434,8.223694088,2208.350958,48.39506468,1
0.434436275,8.0875411,0.926451401,1.915433173,5.516938007,3130.460351,57.75502019,1
0.531326593,8.636943751,0.9290929,1.78597956,5.18047168,3542.851894,64.50375774,1
0.662025123,8.17505583,0.843261795,1.805522282,5.536794473,2665.037743,52.88969689,1
0.363771446,8.523429219,0.926157407,2.012147903,6.739795855,2585.645233,53.8591032,1
0.726363358,11.53854785,0.920796234,1.059109284,2.849493242,5114.245358,75.39130919,1
0.929396446,9.000760583,0.895439523,1.192274606,2.884484505,4799.967027,74.93518396,1
0.46171875,6.745484793,0.916426377,2.161986163,6.380813629,2943.677303,55.43450783,1
0.449816176,6.977052499,0.925817474,2.063520941,5.957202366,3162.253019,57.91782091,1
1.071492034,9.634905638,0.845061181,1.693596788,4.69361408,3708.126999,62.98899217,1
1.036580882,9.327160845,0.870045839,1.866103018,5.176188943,4404.010466,69.36694535,1
0.750934436,9.124423295,0.877805241,2.222145855,6.97637756,3344.818015,59.07339477,1
0.818719363,9.095986013,0.878548369,2.009115997,6.013428069,3360.948937,61.67156745,1
0.433348652,10.73864308,0.863915632,1.712698291,5.758857709,1815.36915,44.11926654,1
0.414797794,8.161844261,0.941309807,1.686400551,4.432046707,3719.590742,62.64160856,1
0.168765319,4.688794665,0.921900065,3.479382955,14.89299796,1413.259924,40.68772121,1
0.402527574,7.563738817,0.932987823,2.067364712,6.025683309,3129.508278,57.93679713,1
0.146384804,3.846006569,0.930126309,3.792748118,17.35835134,1245.95919,38.63474687,1
0.308379289,6.988766208,0.913937082,1.873010219,5.380822183,1709.98989,46.10861396,1
0.326210172,6.801080309,0.911844536,1.899495939,5.488664534,1719.27529,46.88139907,1
0.484390319,6.401638266,0.840240203,2.492808259,8.865691005,1508.809755,42.05265051,1
0.432996324,9.879507024,0.922739518,1.478426738,4.504042819,3044.409112,60.11795361,1
0.713648897,8.694949935,0.872370942,1.721422391,5.105563774,3104.177088,58.38468351,1
0.763128064,8.07276324,0.892403757,1.65780123,4.435255424,3925.585493,68.16190605,1
0.435814951,8.547394542,0.914528464,1.454089513,3.926053055,2343.417171,54.094458,1
0.200490196,9.129244856,0.954115882,1.581543227,4.47355101,2712.46444,62.3894399,1
0.254932598,8.708880291,0.947088656,1.588444924,4.319843658,3002.057788,67.13571113,1
0.168811275,9.132036975,0.955980598,1.645797056,4.872069885,2433.975729,58.2091701,1
0.676072304,8.707829692,0.873360042,2.128008874,6.559750535,2987.659877,57.41271224,1
0.755958946,9.239634436,0.9089744,1.335681222,3.462359481,4311.534207,69.12879214,1
0.299050245,6.618768026,0.924033238,1.898849387,5.476901387,1610.427104,46.73029933,1
0.458011642,8.651984109,0.923925195,1.619528227,4.586382583,2584.843808,57.99169012,1
0.556832108,7.933342608,0.912221677,1.717645796,4.757605583,2480.50194,58.80970185,1
0.431173407,6.206638568,0.874705916,2.412886245,7.93517375,2048.479884,47.73695936,1
0.504258578,10.68631434,0.932012891,1.121726155,3.092491023,3762.686307,65.20227907,1
0.483976716,10.3907516,0.931906607,1.002475914,2.711444229,3734.862506,63.83024147,1
0.803247549,8.767455657,0.850830833,1.712044885,5.09166694,2769.11988,55.18076133,1
0.737821691,8.795990441,0.920103981,1.282560166,3.15488443,5114.793527,75.99400071,1
0.756632966,8.140155566,0.821652201,2.005825382,6.443768674,2163.074582,49.70687736,1
0.405453431,8.227595368,0.936619325,1.537319856,3.909359311,2498.884934,58.93368832,1
